Title From File,Job Title Web,Job Salary,Job Location,Job Type,Description,City,County,Region,New Salary,New Job Type,Level of Experience
Assistant Pre School Manager,Nursery Deputy Manager,£30000 - £33000/annum,E11 Leytonstone Greater London,Permanent,"Job description  Deputy Manager Job Description  Report to: Nursery Manager  Job Types: Full-time Permanent  Salary: £30000 - £33000 per year  Role Purpose  To work in partnership with the manager to ensure the day to day operation of the nursery is kept to high standard in line with company policy and ensuring compliance with the Children Act 2006 (Childcare and Education Law) and associated Early Years Foundation Stage (EYFS) framework all relevant Health and Safety Employment Law legislation and any actions set by Ofsted.  Commit to the Company’s HEART values and ensure they are strongly embedded within the nursery environment.  This post is included in the ratio of the setting with approximately 80% of the time spent working directly with the children in the rooms and 20% being office based tasks.  CHILDCARE AND EDUCATION  · Oversee and participate in planning preparation and delivery of learning activities for individuals groups monitoring and assessing children and recording and reporting their progress in line with the EYFS prime areas.  · To deploy sufficient resources that meet the age and ability of children.  · To ensure outdoor area is safe and secure for children to use and appropriate resources are deployed following the Early Years Foundation Stage Curriculum.  · Ensure efficient placing of key children with a key person and that there are regular review meetings held.  · Ensure the EYFS is fully implemented within the over twos’ and there is ongoing planning observation and assessment to ensure ongoing improvements in standards.   	To plan with staff colleagues an appropriate play-based curriculum which is based on children’s current interests and stages of development and which allows children opportunities for learning and development in all key areas of learning both indoors and outdoors.   · To ensure children are taken to the local library and park on a regular basis.  · To ensure 2 year old checks are carried out by the age of 30 months and reports are shared with parents.  STAFFING  · Responsible for inducting new staff students agency workers and volunteers on their first day of work.  · Conducting regular staff assessments supervision meetings identifying training needs monitoring training and developing teamwork.  · To lead manage and mentor the apprentices students and volunteers and conduct meetings with college tutors to discuss their placement progress.  · To assist with the planning and organisation of staffing schedules and holiday rota's to ensure adequate staffing levels are maintained in accordance with the Nursery procedures.  · To support staff in ensuring a challenging environment and play is provided for children to explore learn and develop.  · To cover staff shortages this may include staff sickness absence and holidays.  · To assist and support the early years practitioners in creating room displays.  · Develop open and positive working relationships with staff.  · Work in conjunction with Human Resources in disciplinary and grievance. investigations hearings and note taking.  WELFARE / SAFEGUARDING  · To ensure children with complex medical needs have a completed health care plan which is shared with parents managers and staff working in the room.  · To undertake Safeguarding duties at all times.  · To comply with Treehouse Nursery School Safeguarding policy.  HEALTH AND SAFETY  · To carry out regular Risk Assessments in the nursery and to ensure all mandatory information is obtained before going out on trips.  · To be responsible for the Health and Safety standards appropriate for the needs of young children and ensuring staff compliance and awareness.  · Assisting with the keeping and monitoring of accident incident medication forms risk assessment and attendance records.  · To ensure high standards of hygiene and cleanliness are maintained at all times.  OPERATIONAL  · To be available to accommodate visitors from outside agencies and deal with their queries. To ensure the correct information and ethos of Treehouse Nursery School is conveyed to all visitors and show good impressions to all people who come through the door.  · Liaise with the Redbridge Early Years Team and other professionals associated with the Nursery.  · To liaise with the Receptionist to ensure home visits are planned well in advance and carry out home visits with the Key Person.  · Work in partnership with parents to provide consistent high quality non-discriminatory child care which meets the needs of each individual child and family and which enables the child to realise his/her full potential and achieve a good self- image and self – esteem.  · To work and liaise with parents and Nursery Manager when moving existing children to a new room and ensure they have a smooth settling in. Consider each child’s development goals before moving them to the next room.  · Welcome parents and children on their settling in days and assist them in the room.  · To oversee parents evening and any other events.  · Promote the nursery to current parents and potential customers.  · To liaise with parents and after school club team to arrange the pick up and drop off of children from school to nursery.  · Ensure that all staff develop and maintain friendly and professional relationships with parents and carers.  · Act as the Deputy Designated Safeguarding Lead in the absence of DSL and take all appropriate actions to safeguard children.  · To log staff information on nursery management software and ensure this is current and up to date.  · To attend parents forum meetings when required.  EQUAL OPPORTUNITIES  · Offering all children equal opportunities with regard to their religious persuasion racial origins gender disabilities cultural or linguistic background; in particular challenging situations where racism or discrimination is displayed.  · Identify the physical emotional intellectual and developmental needs of children with special needs and offer support and relevant developmental opportunities.  PERSONAL DEVELOPMENT  · To attend meetings and training scheduled out of working hours if needed.  · Keep informed of any changes and updates in the EYFS statutory framework and Ofsted.  · To continually evaluate and reflect on your own practice.  GENERAL /DAILY TASKS  · Support the Nursery Manager in the management of the nursery.  · Assist the Nursery Manager in evaluating Company practice using Self Evaluation tools such as Ofsted SEF RAG RATING and Action Plans.  · Assist the Nursery Manager in delivering agreed occupancy targets.  · To create change add and complete the daily register for children attending the nursery.  · To manage and update staff register on a weekly basis.  · To oversee the duties of the Office.  · To work on an opposite shift to the Nursery Manager.  · Ensure all daily routines are adhered to and records kept up -to -date.  · To organise Nursery School runs from local schools and ensure the list is update as and when required.  · Carry out nursery audits such as resources accidents first aid etc.  · Be the ambassador for STARS TFL Woodlands Trust and other accredited awards.  Job Types: Full-time Permanent  Salary: £30000 - £33000 per year  Job Type: Full-time  Salary: £30000.00-£33000.00 per year  Benefits:     	Discounted or free food     Schedule:     	8 hour shift     Ability to commute/relocate:     	London E11 2PU: reliably commute or plan to relocate before starting work (required)     Work Location: In person  Edit job    Open  View public job page",Leytonstone,Greater London,,31500,Permanent,
Assistant Pre School Manager,Assistant Manager - Nursery & Pre-School,£32000/annum Annual Leave Pension + more ,Addlestone Surrey,Permanent,Are you passionate about making a positive impact on the lives of children? Are you ready to take the next step in your career? We have an exciting opportunity for a talented and dedicated individual to join a team as the Assistant Manager for a Nursery & Pre-School. The Assistant Manager will be predominantly supernumerary however will be a very floor-based individual.Our client is seeking a dynamic and dedicated Assistant Manager to join the close-knit team. As an Assistant Manager you will play a pivotal role in shaping the future of our little learners and contribute to the overall growth of our nurturing community.Purpose:- To provide a high standard of physical emotional social and intellectual care for children in the setting.- To help ensure a high-quality environment through providing floor-based training and development for staff within the setting.- To work as part of a team to provide an enabling environment in which all individual children can play develop and learn.- To build and maintain strong partnerships with parents to enable children's needs to be met.- To understand and implement the core values and ethos of the company.Key Areas:* To keep the children safe and happy* To develop an educational environment for all the children* To comply with all the organisation's policies and procedures* To attend training as required and complete all assignments set* To work as part of the staff team.* To liaise with and support the manager.* To be the first place of contact for room leaders* To be an innovative and supportive leader* To lead by example always upholding the culture and ethos of the nursery.* To step into the managers role when necessary.* To understand and embody the company's core values culture and ethics.* To be a Deputy DSLRequirements:- Minimum of a relevant and recognised level 3- At least 3 years' experience in a nursery setting- Previous experience in a nursery or pre-school setting- Desire to continue with professional development- Experience of implementation of EYFS- Excellent communication skills to engage with staff parents and children effectively- A warm and caring demeanor with a genuine passion for early childhood development- Strong organizational and leadership skills adept at problem-solvingSalary: up to £32000 ( Minimum 4 days and salary pro rata)Staff benefits: (some T`s&C`s apply to the below)- Internal Growth- Bonus Schemes- Wellbeing at the heart- Self-development fund- Budgeting loans- Financial support towards completing higher education qualifications such as a degree or accredited course- Discounted childcare- Free hot lunch- Paid overtime or time off in lieu- Uniform provided.- Workplace pension- Regular funded team building days and social events- Free and secure staff car parking- Staff parties and team days out - Birthday off paidTo apply email your updated CV and a cover letter detailing your passion for early childhood education .Note: Only shortlisted candidates will be contacted. Thank you for your understanding.,Addlestone,Surrey,South East,32000,Permanent,
Assistant Pre School Manager,Nursery Deputy Manager,£35000/annum,Richmond upon Thames Greater London,Permanent,"We are working with an independent day nursery who are currently recruiting for a Deputy Nursery Manager for their nursery setting in Richmond upon Thames South West London.  This is an ideal opportunity for an experienced Senior Nursery Practitioner / Deputy Nursery Manager looking to advance in their childcare career in a role providing ongoing support development and progression opportunities.  Position Overview  Your role and responsibilities will include:   	Working alongside the Nursery Manager to support the day-to-day running of the nursery 	Promoting and ensuring a safe caring stimulating educational environment 	Supervising and supporting and staff development 	Assisting with training and appraisals   What you will need:   	A minimum level 3 NNEB CACHE NVQ or recognised equivalent Nursery Practitioner / Early Years Educator qualification 	A sound knowledge of the EYFS framework and regulations 	Confidence in leading and supporting a team 	Excellent communication interpersonal and organisational skills 	Ability to work under pressure and to deadlines   What the position offers:   	A starting salary £35000.00 negotiable depending on experience 	Benefits package 	Opportunity for development and progression 	Generous holiday allowance 	Discounted childcare provision",Richmond upon Thames,Greater London,,35000,Permanent,
Assistant Pre School Manager,Nursery Deputy Manager,£20000 - £28000/annum,B16 Birmingham West Midlands (County),Permanent,My client is a leading independent Nursery based in Birmingham!.  This rare opportunity is not to be missed!  Role purpose:  The Deputy Nursery Manager is a qualified early year’s childcare professional whose main role is to provide professional leadership and management of the nursery. They willeffectively manage the day-to-day running of the nurserydeliver the highest standards of care and education and ensure compliance with legislative requirements and the policies and procedures at all times. They will have the confidence to make day-to-day decisions thoughtfully and with a high degree of sensibility to the needs of the staff children and families. As the Deputy Nursery Manager you will contribute to the strategic planning monitoring evaluation and development of the nursery.  This role is predominantly office based but there will be timeswhere cover in classrooms is necessary in order to maintain ratio. Time will also be spent in the classrooms as part of the development of the staff children and Nursery.,Birmingham,West Midlands (County),None,24000,Permanent,
Assistant Pre School Manager,Nursery Deputy Manager,£30500/annum,Beaconsfield Buckinghamshire,Permanent,"We are working with an award-winning day nursery in Beaconsfield Buckinghamshire who are currently recruiting for a Deputy Nursery Manager.  The successful candidate will preferably have a minimum of 2 years Senior Early Years Practitioner / Deputy Nursery Manager experience being able to demonstrate a sound working knowledge of both the Early Years Foundation Stage framework and Ofsted Standards.  Position Details  Your role:   	Supporting the Nursery Manager in the day-to-day running of the nursery setting 	Working alongside the nursery team to provide an enabling and stimulating environment in which children can play learn and develop 	Supervising and reviewing staff development and performance 	Conducting evaluations of the setting staff and activities   What you will need:   	Minimum 1 year’s experience in a SeniorNurseryPractitioner / DeputyNurseryManager role 	Sound knowledge of the latest Early Years Foundation Stage framework and regulations 	Sound knowledge of Ofsted standards and requirements 	Ability to work to deadlines 	Friendly reliable and flexible approach   What the position offers:   	A starting salary of £30500.00 per annum negotiable 	Employee reward programme 	Training and career progression opportunities 	Pension and healthcare 	Free childcare provision",Beaconsfield,Buckinghamshire,South East,30500,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£28000 - £30000/annum,SL6 Maidenhead Royal Borough of Windsor and Maidenhead,Permanent,**Deputy Manager** **Maidenhead** **Salary 30K**  The role of the Deputy Nursery Manager is to support the Nursery Manager in providing professional leadership and management of the nursery and its staff and to support the Nursery Manager in the successful management of the day to day running of the nursery and deliver high quality standards of care and education for all children.  Key Responsibilities • Adhere to all company policies and procedures • Ensure that all company policy and procedures are adhered to by all staff • Promote a high standard of quality within the nursery including practice environment and resources to meet the requirements of the Early Years Foundation Stage.  Qualifications • Minimum full and relevant Level 3 Early Years qualification • Paediatric First Aid • Basic Safeguarding  Tigerlily Childcare want to help you to make the right choice in your next career move. If you meet the criteria set above or would like Early Years Career advice please apply ASAP for an informal and confidential chat.,Maidenhead,Royal Borough of Windsor and Maidenhead,None,29000,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£25000 - £28000/annum,Chester,Permanent,We are recruiting for a Deputy Nursery Manager for a permanent full time role within an early years setting near the Chester area of Cheshire.In your role as Deputy Nursery Manager you will be joining a quality driven company.What you can expect for the Deputy Nursery Manager role near the  area of Cheshire:£25000 - £28000k per annumFull time hours Monday to FridayA comprehensive pension scheme with employer contributionsChildcare discountHighstreets discounts and membershipCash health planFree counselling sessionsAn extra days holiday off for birthdayRequirements of the Deputy Nursery Manager role near Chester Cheshire:Hold minimum level 3 childcare qualificationSenior level experience within an early years settingExperience leading a team within an early years settingGood communication skillsGood knowledge of the EYFSDuties and responsibilities:Actively promote and support the protection of children and young people in the workplace ensuring that all staff and volunteers observe nursery policies and procedures to keep children safe from harm.Help lead and support staff to implement the EYFSMonitor and evaluate practice within playrooms to support improvements.Work with parents/carers of all children to achieve full integration in the nursery.Foresee the needs of all children families and staff and give wellbeing guidance as appropriate.Support all staff and lead a good staff team with high morale.Liaise with and support parents/carers and other family members.To promote the high standards of the nursery at all times to parents staff and visitorsIf you may be interested in this early years role as a Deputy Nursery Manager in the Chester area of Cheshire please apply now to find out more or contact us for childcare jobs in other geographical areas.We are working on behalf of our client to recruit for this permanent childcare opportunity.,Chester,Cheshire,North West,26500,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£26000 - £30000/annum,Maidenhead Royal Borough of Windsor and Maidenhead,Permanent,"Do you have a level 3 qualification within childcare?   If you have the passion to help children from 0-5 get the deserved start in life then this is the way forward in your career!    Perms Direct is a small family run agency that finds pleasure in knowing that we do everything we can to provide nurseries with the adequate staff. To ensure nurseries can run and maintain a bright future for all children across London. We believe that every child should get equal learning opportunities to develop their imagination. To be able to spark a child's imagination so they can discover new possibilities and have a shot at building their future.     We are currently hiring a qualified Nursery Deputy Manager within the Slough Borough. Ideally you must hold a level 3 qualification at least or equivalent in childcare with a few years experience and an outstanding track record with children.  So what are the key responsibilities?  Lead by Example:   	Set the tone for a nurturing and respectful atmosphere in every room. 	Provide guidance and support. 	Coaching and mentoring the team. 	Achieving and maintaining high standards of care and education 	Ensuring all policies procedures and curriculums are always implemented and adhered to 	Parent Partnership: to be influential in developing strong links with parents. 	Takes a leading point with day-to-day operations working closely with the Manager. 	Drive the development of an outstanding nurturingand caring environment. 	Taking Lead in completing and maintaining the entire nursery cohort tracker. 	Monitoring all practices ensuring the safeguarding of all the children. 	Taking full responsibility for the nursery in the absence of the Nursery Manager.",Maidenhead,Royal Borough of Windsor and Maidenhead,None,28000,Permanent,
Assistant Pre School Manager,Deputy Nursery Manager,£30000 - £35000/annum,SW19 Wimbledon Greater London,Permanent,"Job Title: Deputy Nursery Manager  Location: Wimbledon South West London  Salary: £30000 - £35000 per annum  Contract Type: Perm / Full time  Sector: Education / Training  An independent privately-owned nursery located in a quiet residential street in Wimbledon South West London is seeking an office based Deputy Nursery Manager to join its expanding team. Our client is registered for approximately 65 children aged from babies to five years old and achieved a ""GOOD"" rating from its most recent OFSTED inspection.  As an office-based Deputy Nursery Manager your duties will include:    Promoting high standards of quality within the nursery and the environment.  Ensuring that resources and experiences offers to children are in line with the company's ethos and approach to Early Years Education.  Ensuring that practice and provision in the nursery meets the requirements of the Early Years Foundation Stage.  Ensuring that children are kept safe and that staff understand and follow Safeguarding procedures  Assisting the Nursery Manager with the effective day-to-day management of the nursery.  Maintaining effective methods of communication with children staff parents & carers  Developing positive working relationships with staff  Responsible for ensuring the nursery remains compliant in respect of suitably trained staff with relevant first aid qualifications   To be a successful Deputy Nursery Manager you will have the following skills and experience:    Previous experience in a similar role or an experienced room leader looking to step up.  Minimum NVQ level 3 qualification or equivalent.  Excellent knowledge of Health and Safety legislation.  Excellent knowledge of OFSTED standards.  Excellent knowledge of the EYFS curriculum.  Good time management skills.  Excellent communication skills.  Strong people management skills.   Benefits of this role are numerous and include service recognition rewards pension scheme season ticket loans pay and reward scheme learning and development opportunities employee assistance programme free daily breakfast and refreshments and individual Christmas and birthday presents.",Wimbledon,Greater London,,32500,Permanent,
Assistant Pre School Manager,Nursery Deputy Manager,£30742/annum + Benefits,Watford Hertfordshire,Permanent,Our client is a leading ethical childcare provider dedicated to providing the best possible care and education for children in their care. They operate nationwide; constantly investing in their people and facilities to ensure their nurseries are the best places for children to grow and develop.  Our client’s goal is to offer children an amazing educational experience from birth to pre-school their most formative years. They focus on every unique and our highly skilled and qualified teams provide the very best early years’ experience in a safe and stimulating environment.    child Our client is looking to recruit a Nursery Deputy Manager.  As a Deputy Nursery Manager you will be responsible for:    • Playing a key role in creating a safe welcoming and stimulating environment that promotes children’s learning • You will effectively manage the day to day running of the nursery delivering outstanding standards of care and education in partnership with colleagues parents and children • Be accountable for meeting all objectives and nursery targets with a commercial and people focus ensuring the nursery if efficient and profitable • Support the Nursery Manager on managing the nursery team with a positive and passionate outlook being able to deal with any conflict resolution while developing yourself and others through professional development and monitoring performance • Deputise in the absence of the Nursery Manager where appropriate • Be happy to be big on our differences and maintain minimum operating standards • You will be big on inspiring exciting and challenging colleagues to deliver the best childcare and education  Benefits include:  Up to 60% off your own nursery fees  Enhanced Maternity Paternity & Adoption leave 20% off food shopping  Holidays for less with up to £500 off  Ethical mobile and broadband deals  30 days annual leave that grows with your career  Volunteer for paid time-off  Performance bonuses  Unrivalled training and development,Watford,Hertfordshire,Eastern,30742,Permanent,
